timestamp,raw,first6,event_type,event_target,event_value,buttons,analogs
2026-05-16T12:51:45.012,02000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,020001,button,Button 1,1,"1,0,0,0","0,1,0,0"
2026-05-16T12:51:45.212,02000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,020000,button,Button 1,0,"0,0,0,0","0,0,0,0"
2026-05-16T12:51:49.718,01000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010001,dial,Dial 1,1,"1,0,0,0","1,0,0,0"
2026-05-16T12:51:49.718,01000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010002,dial,Dial 1,2,"1,0,0,0","2,0,0,0"
2026-05-16T12:51:49.718,01000300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010003,dial,Dial 1,3,"1,0,0,0","3,0,0,0"
2026-05-16T12:51:49.718,01000400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010004,dial,Dial 1,4,"1,0,0,0","4,0,0,0"
2026-05-16T12:51:49.718,01000500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010005,dial,Dial 1,5,"1,0,0,0","5,0,0,0"
2026-05-16T12:51:49.718,01000600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010006,dial,Dial 1,6,"1,0,0,0","6,0,0,0"
2026-05-16T12:51:49.718,01000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010007,dial,Dial 1,7,"1,0,0,0","7,0,0,0"
2026-05-16T12:51:49.818,01000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010008,dial,Dial 1,8,"1,0,0,0","8,0,0,0"
2026-05-16T12:51:49.818,01000900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010009,dial,Dial 1,9,"1,0,0,0","9,0,0,0"
2026-05-16T12:51:49.818,01000a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01000a,dial,Dial 1,10,"1,0,0,0","10,0,0,0"
2026-05-16T12:51:49.818,01000b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01000b,dial,Dial 1,11,"1,0,0,0","11,0,0,0"
2026-05-16T12:51:49.818,01000c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01000c,dial,Dial 1,12,"1,0,0,0","12,0,0,0"
