timestamp,raw,buttons,analogs
2026-05-16T12:23:29.887,02000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"0,1,0,0","0,1,0,0"
2026-05-16T12:23:29.887,02000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"0,1,0,0","0,0,0,0"
2026-05-16T12:23:33.893,02000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"0,1,0,0","0,1,0,0"
2026-05-16T12:23:34.093,02000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"0,1,0,0","0,0,0,0"
2026-05-16T12:23:49.415,02010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"0,1,0,0","1,1,0,0"
2026-05-16T12:23:49.615,02010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"0,1,0,0","1,0,0,0"
2026-05-16T12:24:02.642,02020100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"0,1,0,0","2,1,0,0"
2026-05-16T12:24:02.843,02020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"0,1,0,0","2,0,0,0"
